Added By,Model,Method Used,Test Dataset,Source,Notes,Accuracy,Domain,Abrivation
Aren golazizian,LLaMA2-13B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,5.5,Deduction,
Aren golazizian,LLaMA2-13B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,3.3,Deduction,
Aren golazizian,LLaMA2-70B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,19.3,Deduction,
Aren golazizian,LLaMA2-70B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,9.2,Deduction,
Aren golazizian,LLaMA2-70B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,12.5,Deduction,
Aren golazizian,LLaMA2-70B,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,12.3,Deduction,
Aren golazizian,GPT-3.5,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,9,Deduction,
Aren golazizian,GPT-3.5,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in Inductive and Deductive but Abductive is the same,20,Deduction,
Aren golazizian,GPT-3.5,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,12.5,Deduction,
Aren golazizian,GPT-3.5,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,40.7,Deduction,
Aren golazizian,GPT-4,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,56.5,Deduction,
Aren golazizian,GPT-4,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in all reasoning types but abductive is still the lowest,60.9,Deduction,
Aren golazizian,GPT-4,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Significant drops in abductive and deductive,35.6,Deduction,
Aren golazizian,T5-780M,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",10.7,Induction,
Aren golazizian,T5-780M,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",70,Induction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","perfect on Ab-test, but large drops on De-test & In-test.",28.6,Induction,
Aren golazizian,T5-3B,SFT on Complement-train (UniADILR-PSy),Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Table 2)  
COLING 2024 ","Complement-train = Training on the other two reasoning types (not the test type)
Complement-train produces much more balanced performance",69.3,Induction,
Aren golazizian,T5-3B,SFT on Ab-Train (UniADILR-PSy),UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,37.5,Induction,
Aren golazizian,LLaMA2-7B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,4,Induction,
Aren golazizian,LLaMA2-7B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,2.5,Induction,
Aren golazizian,LLaMA2-7B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,5.4,Induction,
Aren golazizian,LLaMA2-13B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,9.7,Induction,
Aren golazizian,LLaMA2-13B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,8,Induction,
Aren golazizian,LLaMA2-13B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,10.5,Induction,
Aren golazizian,LLaMA2-70B,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,15,Induction,
Aren golazizian,LLaMA2-70B,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Although the 1 shot example is from Ab-test but still the model struggles the most in abductive!,10.7,Induction,
Aren golazizian,LLaMA2-70B,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,3.5,Induction,
Aren golazizian,LLaMA2-70B,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,8,Induction,
Aren golazizian,GPT-3.5,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,28.5,Induction,
Aren golazizian,GPT-3.5,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in Inductive and Deductive but Abductive is the same,41.2,Induction,
Aren golazizian,GPT-3.5,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Still struggles the most in abductive,28.5,Induction,
Aren golazizian,GPT-3.5,0-shot prompting,UniADILR-HGc-Ab  UniADILR-HGc-De  UniADILR-HGc-In,"UniADILR (Figure 3) 
COLING 2024 ",UniADILR-HGc: human-GPT annotated ,38.1,Induction,
Aren golazizian,GPT-4,Mixed 3-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Model struggles the most in abductive,71,Induction,
Aren golazizian,GPT-4,  1-shot prompting from Ab-test,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Improvement in all reasoning types but abductive is still the lowest,76.5,Induction,
Aren golazizian,GPT-4,0-shot prompting,Ab-test/De-test/In-test (UniADILR-PSy),"UniADILR (Figure 2) 
COLING 2024 ",Significant drops in abductive and deductive,72.8,Induction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",66.67,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",76.67,Abduction,
Nima1313,Claude V3 Sonnet,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,GPT-4,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,GPT-4,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",73.33,Abduction,
Nima1313,GPT-4,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",63.33,Abduction,
Nima1313,GPT-4,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",63.33,Abduction,
Nima1313,GPT-4,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",63.33,Abduction,
Nima1313,GPT-4o,ZS no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",60,Abduction,
Nima1313,GPT-4o,M-Cot no-Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,GPT-4o,ZS Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,GPT-4o,ZS Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",70,Abduction,
Nima1313,GPT-4o,M-Cot Exp,VitaminC,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"VitaminC – Wikipedia-based claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",63.33,Abduction,
Nima1313,Claude V3 Sonnet,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",59.8,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",58.16,Abduction,
Nima1313,Claude V3 Sonnet,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",47.06,Abduction,
Nima1313,Claude V3 Sonnet,ZS Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",43.14,Abduction,
Nima1313,Claude V3 Sonnet,M-Cot Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",42.16,Abduction,
Nima1313,GPT-4,ZS no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",79.41,Abduction,
Nima1313,GPT-4,M-Cot no-Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",72.55,Abduction,
Nima1313,GPT-4,ZS Exp,CLIMATE-FEVER,assessing the reasoning capabilities of llms in the context of evidence-based claim verification,"CLIMATE-FEVER – climate-related online claims

No-Exp= > we prompt LLMs to predict the claim veracity without any rationale generation.
Exp => we first prompt LLMs to produce a rationale and then use the generated information to predict claim
Zero-Shot (ZS), and Manual Chain-of-Thought (M-CoT) Zero-Shot Chain-of-Thought (ZS CoT)
ZS CoT was applied only under Exp as rationale
generation is integral to ZS CoT prompting. In all
the prompts, we provide dataset specific personas
and instructions in the system prompt and CoT examples in the user prompt. ",52.94,Abduction,
